date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:41	844/844	---M--	200	added ('OK')	text/html	etag:%22b7bf193-34c-d231da00%22	http://bamru.org/sgallery/dana_couloir.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/dana_couloir.htm	(from http://bamru.org/calendar.php)
19:10:41	835/835	---M--	200	added ('OK')	text/html	etag:%22b7bf1a4-343-d2411c40%22	http://bamru.org/sgallery/mt_tam.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/mt_tam.htm	(from http://bamru.org/calendar.php)
19:10:41	31755/31755	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc40d-7c0b-2647e400%22	http://bamru.org/images/helo.jpg	/home/aleak/websites/bamru_test/bamru.org/images/helo.jpg	(from http://bamru.org/calendar.php)
19:10:41	841/841	---M--	200	added ('OK')	text/html	etag:%22b7bf18a-349-d22297c0%22	http://bamru.org/sgallery/assist.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/assist.htm	(from http://bamru.org/calendar.php)
19:10:41	16371/16371	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc40f-3ff3-ae8d1880%22	http://bamru.org/images/hills.jpg	/home/aleak/websites/bamru_test/bamru.org/images/hills.jpg	(from http://bamru.org/calendar.php)
19:10:41	838/838	---M--	200	added ('OK')	text/html	etag:%22b7bf1ac-346-d2505e80%22	http://bamru.org/sgallery/rostrum.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/rostrum.htm	(from http://bamru.org/calendar.php)
19:10:41	840/840	---M--	200	added ('OK')	text/html	etag:%22b7bf19d-348-d231da00%22	http://bamru.org/sgallery/joshua_tree.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/joshua_tree.htm	(from http://bamru.org/calendar.php)
19:10:42	838/838	---M--	200	added ('OK')	text/html	etag:%22b7bf194-346-d231da00%22	http://bamru.org/sgallery/elt.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/elt.htm	(from http://bamru.org/calendar.php)
19:10:42	836/836	---M--	200	added ('OK')	text/html	etag:%22b7bf1b0-344-d2505e80%22	http://bamru.org/sgallery/traverse.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/traverse.htm	(from http://bamru.org/calendar.php)
19:10:42	843/843	---M--	200	added ('OK')	text/html	etag:%22b7bf1a2-34b-d2411c40%22	http://bamru.org/sgallery/mariposa.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/mariposa.htm	(from http://bamru.org/calendar.php)
19:10:42	836/836	---M--	200	added ('OK')	text/html	etag:%22b7bf19b-344-d231da00%22	http://bamru.org/sgallery/highline.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/highline.htm	(from http://bamru.org/calendar.php)
